Amino.Acid,Iupred.score,ANN,PSSM,SVM,Consensus,normalization,SiteNum,Set,Response
S,0.002581,0.46,0.264,-0.425,0.1,0.1,1483,train,0
S,0.0088,0.343,0.568,-0.31,0.2,0.333333333,3158,train,0
S,0.013265,0.054,-0.241,-1.617,-0.601,0.001096491,3473,train,0
S,0.0198,0.251,0.019,-0.797,-0.176,0.010309278,594,train,0
S,0.0198,0.307,0.1,-0.385,0.007,0.008928571,2313,train,0
S,0.023534,0.398,0.254,-0.824,-0.057,0.001096491,3216,train,0
S,0.023534,0.435,0.36,-0.406,0.13,0.003401361,1950,train,0
S,0.034884,0.048,-0.188,-1.233,-0.458,0.04,1378,train,0
S,0.036378,0.236,-0.07,-0.771,-0.202,0.166666667,234,test,NA
S,0.044297,0.683,0.277,0.155,0.372,0.00238379,1788,train,0
S,0.048328,0.351,0.076,-0.588,-0.054,0.005464481,2799,train,0
S,0.049374,0.063,-0.3,-1.451,-0.563,0.003575685,3291,train,0
S,0.0494,0.145,-0.128,-1.099,-0.361,6.46831e-4,2900,train,0
S,0.050641,0.144,-0.033,-1.1,-0.33,0.003030303,2154,train,0
S,0.051831,0.119,-0.139,-0.898,-0.306,0.00173913,3499,train,0
S,0.05306,0.209,-0.095,-0.918,-0.268,0.012658228,3327,train,0
S,0.056825,0.182,-0.25,-1.14,-0.403,0.033333333,3460,train,0
S,0.059222,0.095,-0.132,-1.058,-0.365,0.025,3464,train,0
S,0.06184,0.138,-0.065,-0.588,-0.172,0.01369863,65,test,NA
S,0.06312,0.238,-0.156,-0.62,-0.179,0.002444988,1871,train,0
S,0.06312,0.444,0.126,-0.295,0.092,0.005813953,2781,train,0
S,0.067594,0.357,0.15,-0.081,0.142,0.003344482,1643,test,NA
S,0.069024,0.059,-0.264,-1.494,-0.566,0.041666667,3380,train,0
S,0.069024,0.327,0.01,-0.652,-0.105,0.00625,1459,train,0
S,0.0704,0.407,0.215,-0.57,0.017,0.020833333,1533,train,0
S,0.071867,0.275,0.151,-0.788,-0.121,0.009009009,2719,train,0
S,0.079919,0.878,0.36,0.844,0.694,0.036585366,1792,train,0
S,0.083462,0.069,-0.14,-1.326,-0.466,7.22543e-4,1526,train,0
S,0.085092,0.035,-0.14,-1.413,-0.506,0.002724796,106,train,0
S,0.085092,0.257,0.235,-0.698,-0.069,0.02739726,2148,train,0
S,0.086953,0.054,-0.271,-1.113,-0.443,0.076923077,1307,train,0
S,0.088832,0.042,-0.293,-1.462,-0.571,0.083333333,724,test,NA
S,0.088832,0.099,-0.257,-1.124,-0.427,0.002252252,2597,train,0
S,0.088832,0.138,-0.115,-1.236,-0.404,0.005319149,2930,train,0
S,0.090864,0.123,0.091,-0.987,-0.258,0.004504505,1318,train,0
S,0.090864,0.205,0.025,-0.718,-0.163,0.005319149,2328,train,0
S,0.090864,0.363,0.21,-0.59,-0.006,0.003344482,3720,train,0
S,0.092881,0.41,0.346,-0.382,0.125,0.04,2217,train,0
S,0.094817,0.213,-0.084,-0.766,-0.212,0.005427408,3355,train,0
S,0.098513,0.354,0.027,-0.168,0.071,0.014925373,1569,train,0
S,0.100716,0.057,-0.308,-1.538,-0.596,0.128547579,2717,train,0
S,0.106997,0.175,-0.208,-0.787,-0.273,0.071428571,1704,train,0
S,0.111485,0.082,-0.179,-1.626,-0.574,0.041666667,181,train,0
S,0.111485,0.088,-0.434,-1.423,-0.59,0.005154639,3609,train,0
S,0.116183,0.022,-0.462,-2.015,-0.818,0.008928571,3037,train,0
S,0.116183,0.219,-0.027,-0.578,-0.129,0.023809524,1782,train,0
S,0.116183,0.318,0.005,-0.445,-0.041,0.125,3038,train,0
S,0.116183,0.496,0.256,0.055,0.269,0.00990099,771,train,0
S,0.118441,0.132,-0.128,-1.305,-0.434,0.028571429,1402,train,0
S,0.118441,0.639,0.858,0.408,0.635,0.125,93,train,0
S,0.120615,0.194,0.059,-0.884,-0.21,0.004545455,3548,train,0
S,0.122885,0.065,-0.181,-1.111,-0.409,0.014925373,2084,train,0
S,0.122885,0.422,0.072,-0.45,0.015,0.035460993,2505,train,0
